hora,target_temp,temp_input,hum_input,bat_input,accion_luz,accion_fan,accion_riego,accion_sleep,solar_w,consumo_w,temp_output,bat_output,recompensa,estado_cpu
0.0,24.0,20.77,46.85,66.32,1,0,0,0,0.0,10.6,21.2,45.12,-3.3307,ACTIVE
1.0,24.0,21.16,45.62,45.12,0,1,0,0,0.0,2.6,19.56,39.92,-4.5721,ACTIVE
2.0,24.0,19.48,44.63,39.92,1,0,0,0,0.0,10.6,20.05,18.72,-4.4774,ACTIVE
3.0,24.0,20.06,43.43,18.72,0,0,0,1,0.0,0.01,19.69,18.7,-4.3153,SLEEP
4.0,24.0,19.75,42.44,18.7,0,0,0,1,0.0,0.01,19.52,18.68,-4.4767,SLEEP
5.0,24.0,19.49,41.45,18.68,0,0,0,1,0.0,0.01,19.3,18.66,-4.6975,SLEEP
6.0,24.0,19.27,40.48,18.66,0,0,0,1,0.0,0.01,19.05,18.64,-4.9483,SLEEP
7.0,24.0,19.08,39.5,18.64,0,0,0,1,0.0,0.01,18.94,18.62,-5.0576,SLEEP
8.0,24.0,18.91,38.54,18.62,0,0,0,1,6.18,0.01,18.81,30.96,-5.1859,SLEEP
9.0,24.0,18.78,37.57,30.96,1,0,1,0,11.76,15.6,19.52,23.27,-5.2638,ACTIVE
10.0,24.0,19.46,51.39,23.27,1,0,0,0,16.18,10.6,21.45,34.43,-3.0817,ACTIVE
11.0,24.0,21.54,50.14,34.43,1,0,0,0,19.02,10.6,23.26,51.28,-1.2659,ACTIVE
12.0,24.0,23.31,48.84,51.28,0,0,0,0,20.0,0.6,24.1,90.08,-0.1326,ACTIVE
13.0,24.0,24.01,47.72,90.08,0,0,0,0,19.02,0.6,24.57,100.0,-0.6048,ACTIVE
14.0,24.0,24.61,46.58,100.0,0,0,0,0,16.18,0.6,25.1,100.0,-1.1292,ACTIVE
15.0,24.0,25.12,45.43,100.0,0,0,0,0,11.76,0.6,25.54,100.0,-1.5739,ACTIVE
16.0,24.0,25.55,44.26,100.0,0,0,0,0,6.18,0.6,24.37,100.0,-0.3986,ACTIVE
17.0,24.0,24.42,43.13,100.0,0,0,0,0,0.0,0.6,23.41,98.8,-0.6211,ACTIVE
18.0,24.0,23.46,42.03,98.8,0,0,0,0,0.0,0.6,22.72,97.6,-1.3125,ACTIVE
19.0,24.0,22.64,40.95,97.6,0,0,0,0,0.0,0.6,21.89,96.4,-2.1439,ACTIVE
20.0,24.0,21.94,39.89,96.4,0,0,0,1,0.0,0.01,21.35,96.38,-2.6477,SLEEP
21.0,24.0,21.35,38.85,96.38,0,0,0,0,0.0,0.6,20.91,95.18,-3.1233,ACTIVE
22.0,24.0,20.85,37.82,95.18,1,0,1,0,0.0,15.6,21.13,63.98,-3.6463,ACTIVE
23.0,24.0,21.22,51.59,63.98,0,0,0,1,0.0,0.01,20.84,63.96,-3.1634,SLEEP
0.0,24.0,20.74,50.57,63.96,1,0,0,0,0.0,10.6,21.22,42.76,-3.3086,ACTIVE
1.0,24.0,21.13,49.33,42.76,0,0,0,1,0.0,0.01,20.56,42.74,-3.4401,SLEEP
2.0,24.0,20.66,48.31,42.74,1,0,0,0,0.0,10.6,21.1,21.54,-3.4343,ACTIVE
3.0,24.0,21.06,47.08,21.54,0,0,0,1,0.0,0.01,20.55,21.52,-3.4466,SLEEP
4.0,24.0,20.6,46.06,21.52,1,0,0,0,0.0,10.6,20.93,0.32,-3.5973,ACTIVE
5.0,24.0,21.01,44.83,0.32,0,0,0,1,0.0,0.01,20.55,0.3,-3.4509,SLEEP
6.0,24.0,20.56,43.82,0.3,0,0,0,1,0.0,0.01,20.25,0.28,-3.7503,SLEEP
7.0,24.0,20.18,42.81,0.28,0,0,0,1,0.0,0.01,19.85,0.26,-4.1516,SLEEP
8.0,24.0,19.85,41.81,0.26,0,0,0,1,6.18,0.01,19.65,12.6,-4.3465,SLEEP
9.0,24.0,19.57,40.83,12.6,0,0,0,1,11.76,0.01,19.3,36.09,-4.7051,SLEEP
10.0,24.0,19.34,39.85,36.09,1,0,1,0,16.18,15.6,21.46,37.25,-3.3228,ACTIVE
11.0,24.0,21.44,53.6,37.25,1,0,0,0,19.02,10.6,23.27,54.1,-1.2574,ACTIVE
12.0,24.0,23.22,52.31,54.1,0,0,0,0,20.0,0.6,23.99,92.9,-0.0372,ACTIVE
13.0,24.0,23.94,51.19,92.9,0,0,0,0,19.02,0.6,24.45,100.0,-0.4766,ACTIVE
14.0,24.0,24.55,50.05,100.0,0,0,0,0,16.18,0.6,24.97,100.0,-0.9984,ACTIVE
15.0,24.0,25.06,48.9,100.0,0,0,0,0,11.76,0.6,25.58,100.0,-1.6106,ACTIVE
16.0,24.0,25.5,47.74,100.0,0,0,0,0,6.18,0.6,24.34,100.0,-0.3706,ACTIVE
17.0,24.0,24.38,46.6,100.0,0,0,1,0,0.0,5.6,23.52,88.8,-0.7622,ACTIVE
18.0,24.0,23.42,60.5,88.8,0,0,0,0,0.0,0.6,22.53,87.6,-1.4959,ACTIVE
19.0,24.0,22.61,59.42,87.6,0,0,0,0,0.0,0.6,22.01,86.4,-2.0231,ACTIVE
20.0,24.0,21.92,58.37,86.4,0,0,0,1,0.0,0.01,21.34,86.38,-2.665,SLEEP
21.0,24.0,21.33,57.33,86.38,0,0,0,1,0.0,0.01,20.92,86.36,-3.0772,SLEEP
22.0,24.0,20.83,56.3,86.36,1,0,0,0,0.0,10.6,21.26,65.16,-3.2731,ACTIVE
23.0,24.0,21.21,55.06,65.16,0,0,0,1,0.0,0.01,20.77,65.14,-3.2329,SLEEP
0.0,24.0,20.72,54.04,65.14,1,0,0,0,0.0,10.6,21.15,43.94,-3.3794,ACTIVE
1.0,24.0,21.12,52.81,43.94,0,0,0,1,0.0,0.01,20.73,43.92,-3.2718,SLEEP
2.0,24.0,20.65,51.79,43.92,1,0,0,0,0.0,10.6,21.0,22.72,-3.5289,ACTIVE
3.0,24.0,21.05,50.56,22.72,0,0,0,0,0.0,0.6,20.51,21.52,-3.522,ACTIVE
4.0,24.0,20.59,49.54,21.52,1,0,0,0,0.0,10.6,20.95,0.32,-3.5795,ACTIVE
5.0,24.0,21.0,48.31,0.32,0,0,0,1,0.0,0.01,20.63,0.3,-3.3746,SLEEP
6.0,24.0,20.55,47.29,0.3,0,1,1,0,0.0,7.6,18.98,0.0,-5.4013,ACTIVE
7.0,24.0,18.97,61.33,0.0,0,0,0,1,0.0,0.01,18.9,0.0,-105.0988,DEAD
8.0,24.0,18.83,60.36,0.0,0,0,0,1,6.18,0.01,18.65,12.34,-105.3504,DEAD
9.0,24.0,18.7,59.4,12.34,0,0,0,1,11.76,0.01,18.58,35.83,-5.4228,SLEEP
10.0,24.0,18.6,58.44,35.83,0,0,0,1,16.18,0.01,20.0,68.17,-4.0003,SLEEP
11.0,24.0,20.01,57.44,68.17,1,0,0,0,19.02,10.6,22.04,85.02,-2.4895,ACTIVE
12.0,24.0,22.01,56.18,85.02,0,0,0,0,20.0,0.6,22.82,100.0,-1.2054,ACTIVE
13.0,24.0,22.9,55.09,100.0,0,0,0,0,19.02,0.6,23.64,100.0,-0.393,ACTIVE
14.0,24.0,23.67,53.98,100.0,0,0,0,0,16.18,0.6,24.27,100.0,-0.2985,ACTIVE
15.0,24.0,24.32,52.85,100.0,0,0,0,0,11.76,0.6,24.86,100.0,-0.8907,ACTIVE
16.0,24.0,24.87,51.71,100.0,0,0,0,0,6.18,0.6,23.8,100.0,-0.234,ACTIVE
17.0,24.0,23.84,50.59,100.0,0,0,0,0,0.0,0.6,23.05,98.8,-0.9811,ACTIVE
18.0,24.0,22.96,49.5,98.8,0,0,0,0,0.0,0.6,22.29,97.6,-1.7381,ACTIVE
19.0,24.0,22.22,48.44,97.6,0,0,0,0,0.0,0.6,21.5,96.4,-2.5332,ACTIVE
20.0,24.0,21.59,47.39,96.4,0,0,0,1,0.0,0.01,21.12,96.38,-2.8846,SLEEP
21.0,24.0,21.05,46.36,96.38,0,0,0,1,0.0,0.01,20.68,96.36,-3.3238,SLEEP
22.0,24.0,20.59,45.34,96.36,1,0,0,0,0.0,10.6,20.94,75.16,-3.5941,ACTIVE
23.0,24.0,21.0,44.11,75.16,0,0,0,1,0.0,0.01,20.5,75.14,-3.5055,SLEEP
0.0,24.0,20.55,43.09,75.14,1,0,0,0,0.0,10.6,20.88,53.94,-3.6488,ACTIVE
1.0,24.0,20.97,41.86,53.94,1,0,0,0,0.0,10.6,21.42,32.74,-3.1089,ACTIVE
2.0,24.0,21.32,40.63,32.74,0,0,0,1,0.0,0.01,20.88,32.72,-3.1183,SLEEP
3.0,24.0,20.83,39.6,32.72,1,0,1,0,0.0,15.6,21.19,1.52,-3.5938,ACTIVE
4.0,24.0,21.2,53.36,1.52,0,0,0,1,0.0,0.01,20.82,1.5,-3.1801,SLEEP
5.0,24.0,20.72,52.34,1.5,0,0,0,1,0.0,0.01,20.36,1.48,-3.6437,SLEEP
6.0,24.0,20.31,51.33,1.48,0,0,0,1,0.0,0.01,19.93,1.46,-4.075,SLEEP
7.0,24.0,19.97,50.33,1.46,0,0,0,1,0.0,0.01,19.69,1.44,-4.3134,SLEEP
8.0,24.0,19.67,49.34,1.44,0,0,0,1,6.18,0.01,19.47,13.78,-4.5303,SLEEP
9.0,24.0,19.42,48.36,13.78,1,0,0,0,11.76,10.6,20.08,16.09,-4.4522,ACTIVE
10.0,24.0,20.01,47.16,16.09,0,0,1,0,16.18,5.6,21.29,37.25,-2.9853,ACTIVE
11.0,24.0,21.21,61.13,37.25,1,0,0,0,19.02,10.6,23.04,54.1,-1.4888,ACTIVE
12.0,24.0,23.03,59.83,54.1,0,0,0,1,20.0,0.01,23.71,94.08,-0.2881,SLEEP
13.0,24.0,23.77,58.72,94.08,0,0,0,0,19.02,0.6,24.35,100.0,-0.3836,ACTIVE
14.0,24.0,24.41,57.59,100.0,0,0,0,0,16.18,0.6,24.98,100.0,-1.0093,ACTIVE
15.0,24.0,24.94,56.44,100.0,0,0,0,0,11.76,0.6,25.37,100.0,-1.3965,ACTIVE
16.0,24.0,25.4,55.28,100.0,0,0,0,0,6.18,0.6,24.21,100.0,-0.2373,ACTIVE
17.0,24.0,24.29,54.15,100.0,0,0,0,0,0.0,0.6,23.45,98.8,-0.5815,ACTIVE
18.0,24.0,23.35,53.05,98.8,0,0,0,0,0.0,0.6,22.46,97.6,-1.5688,ACTIVE
19.0,24.0,22.55,51.97,97.6,0,0,0,0,0.0,0.6,21.82,96.4,-2.2124,ACTIVE
20.0,24.0,21.86,50.92,96.4,0,0,0,1,0.0,0.01,21.36,96.38,-2.6395,SLEEP
21.0,24.0,21.28,49.88,96.38,0,0,0,1,0.0,0.01,20.77,96.36,-3.2345,SLEEP
22.0,24.0,20.79,48.85,96.36,1,0,0,0,0.0,10.6,21.24,75.16,-3.2899,ACTIVE
23.0,24.0,21.17,47.62,75.16,0,0,0,1,0.0,0.01,20.72,75.14,-3.2809,SLEEP
0.0,24.0,20.7,46.6,75.14,1,0,0,0,0.0,10.6,21.12,53.94,-3.4065,ACTIVE
1.0,24.0,21.09,45.37,53.94,0,0,0,1,0.0,0.01,20.55,53.92,-3.4486,SLEEP
2.0,24.0,20.63,44.35,53.92,1,0,0,0,0.0,10.6,21.05,32.72,-3.4849,ACTIVE
3.0,24.0,21.03,43.12,32.72,0,0,0,1,0.0,0.01,20.6,32.7,-3.4002,SLEEP
4.0,24.0,20.58,42.1,32.7,1,0,0,0,0.0,10.6,20.93,11.5,-3.5969,ACTIVE
5.0,24.0,20.99,40.87,11.5,0,0,0,1,0.0,0.01,20.5,11.48,-3.5041,SLEEP
6.0,24.0,20.54,39.85,11.48,0,0,0,1,0.0,0.01,20.24,11.46,-3.7574,SLEEP
7.0,24.0,20.16,38.85,11.46,0,0,0,1,0.0,0.01,19.76,11.44,-4.2443,SLEEP
8.0,24.0,19.84,37.85,11.44,0,0,0,1,6.18,0.01,19.52,23.78,-4.4831,SLEEP
9.0,24.0,19.56,36.87,23.78,0,0,0,1,11.76,0.01,19.34,47.27,-4.6624,SLEEP
10.0,24.0,19.33,35.89,47.27,1,0,1,0,16.18,15.6,21.33,48.43,-3.4495,ACTIVE
11.0,24.0,21.43,49.64,48.43,0,0,1,0,19.02,5.6,22.4,75.28,-1.8797,ACTIVE
12.0,24.0,22.41,63.57,75.28,1,0,1,0,20.0,15.6,24.09,84.08,-0.8686,ACTIVE
13.0,24.0,24.05,77.25,84.08,0,0,0,0,19.02,0.6,24.62,100.0,-0.6451,ACTIVE
14.0,24.0,24.64,76.11,100.0,0,0,0,0,16.18,0.6,25.22,100.0,-1.2526,ACTIVE
15.0,24.0,25.15,74.96,100.0,0,0,0,0,11.76,0.6,25.63,100.0,-1.6554,ACTIVE
16.0,24.0,25.58,73.79,100.0,0,0,0,0,6.18,0.6,24.39,100.0,-0.4165,ACTIVE
17.0,24.0,24.44,72.65,100.0,0,0,0,0,0.0,0.6,23.53,98.8,-0.4967,ACTIVE
18.0,24.0,23.47,71.55,98.8,0,0,0,0,0.0,0.6,22.63,97.6,-1.3952,ACTIVE
19.0,24.0,22.65,70.47,97.6,0,0,0,0,0.0,0.6,22.04,96.4,-1.9906,ACTIVE
20.0,24.0,21.95,69.41,96.4,0,0,0,1,0.0,0.01,21.34,96.38,-2.6569,SLEEP
21.0,24.0,21.36,68.37,96.38,0,0,0,1,0.0,0.01,20.9,96.36,-3.0964,SLEEP
22.0,24.0,20.86,67.35,96.36,1,0,0,0,0.0,10.6,21.16,75.16,-3.3696,ACTIVE
23.0,24.0,21.23,66.11,75.16,0,0,0,1,0.0,0.01,20.72,75.14,-3.2797,SLEEP
0.0,24.0,20.74,65.09,75.14,0,0,0,1,0.0,0.01,20.3,75.12,-3.6979,SLEEP
1.0,24.0,20.33,64.08,75.12,1,0,0,0,0.0,10.6,20.86,53.92,-3.673,ACTIVE
2.0,24.0,20.78,62.85,53.92,1,0,0,0,0.0,10.6,21.2,32.72,-3.3327,ACTIVE
3.0,24.0,21.17,61.62,32.72,0,0,0,1,0.0,0.01,20.65,32.7,-3.3543,SLEEP
4.0,24.0,20.69,60.6,32.7,0,0,0,1,0.0,0.01,20.37,32.68,-3.6257,SLEEP
5.0,24.0,20.29,59.59,32.68,1,0,0,0,0.0,10.6,20.84,11.48,-3.692,ACTIVE
6.0,24.0,20.74,58.37,11.48,0,0,0,1,0.0,0.01,20.42,11.46,-3.5757,SLEEP
7.0,24.0,20.33,57.36,11.46,0,0,0,1,0.0,0.01,19.9,11.44,-4.0964,SLEEP
8.0,24.0,19.98,56.36,11.44,0,0,0,1,6.18,0.01,19.73,23.78,-4.2697,SLEEP
9.0,24.0,19.69,55.37,23.78,1,0,0,0,11.76,10.6,20.25,26.09,-4.2764,ACTIVE
10.0,24.0,20.23,54.16,26.09,1,0,0,0,16.18,10.6,22.17,37.25,-2.3555,ACTIVE
11.0,24.0,22.2,52.89,37.25,0,0,0,0,19.02,0.6,23.02,74.1,-1.0112,ACTIVE
12.0,24.0,23.07,51.8,74.1,0,0,0,0,20.0,0.6,23.71,100.0,-0.322,ACTIVE
13.0,24.0,23.81,50.69,100.0,0,0,0,0,19.02,0.6,24.44,100.0,-0.4742,ACTIVE
14.0,24.0,24.44,49.55,100.0,0,0,0,0,16.18,0.6,25.02,100.0,-1.0494,ACTIVE
15.0,24.0,24.97,48.41,100.0,0,0,0,0,11.76,0.6,25.4,100.0,-1.4282,ACTIVE
16.0,24.0,25.43,47.24,100.0,0,0,0,1,6.18,0.01,24.31,100.0,-0.3135,SLEEP
17.0,24.0,24.31,46.11,100.0,0,0,0,0,0.0,0.6,23.33,98.8,-0.6999,ACTIVE
18.0,24.0,23.36,45.01,98.8,0,0,0,0,0.0,0.6,22.57,97.6,-1.459,ACTIVE
19.0,24.0,22.56,43.94,97.6,0,0,0,0,0.0,0.6,21.91,96.4,-2.1209,ACTIVE
20.0,24.0,21.88,42.88,96.4,0,0,0,1,0.0,0.01,21.34,96.38,-2.6562,SLEEP
21.0,24.0,21.29,41.84,96.38,0,0,0,1,0.0,0.01,20.81,96.36,-3.1862,SLEEP
22.0,24.0,20.8,40.82,96.36,1,0,0,0,0.0,10.6,21.25,75.16,-3.2828,ACTIVE
23.0,24.0,21.18,39.58,75.16,0,0,0,1,0.0,0.01,20.65,75.14,-3.3551,SLEEP
0.0,24.0,20.7,38.56,75.14,1,0,1,0,0.0,15.6,21.12,43.94,-3.6608,ACTIVE
1.0,24.0,21.1,52.33,43.94,0,0,0,1,0.0,0.01,20.62,43.92,-3.379,SLEEP
2.0,24.0,20.63,51.31,43.92,1,0,0,0,0.0,10.6,21.04,22.72,-3.4896,ACTIVE
3.0,24.0,21.04,50.08,22.72,0,0,0,1,0.0,0.01,20.67,22.7,-3.3261,SLEEP
4.0,24.0,20.58,49.06,22.7,1,0,0,0,0.0,10.6,21.03,1.5,-3.5031,ACTIVE
5.0,24.0,21.0,47.83,1.5,0,0,0,1,0.0,0.01,20.58,1.48,-3.4219,SLEEP
6.0,24.0,20.55,46.81,1.48,0,0,0,1,0.0,0.01,20.08,1.46,-3.9179,SLEEP
7.0,24.0,20.16,45.81,1.46,0,0,0,1,0.0,0.01,19.79,1.44,-4.2142,SLEEP
8.0,24.0,19.84,44.81,1.44,0,0,0,1,6.18,0.01,19.62,13.78,-4.3757,SLEEP
9.0,24.0,19.56,43.83,13.78,0,0,0,1,11.76,0.01,19.24,37.27,-4.7623,SLEEP
10.0,24.0,19.33,42.85,37.27,1,0,0,0,16.18,10.6,21.45,48.43,-3.0781,ACTIVE
11.0,24.0,21.43,41.6,48.43,1,0,0,0,19.02,10.6,23.21,65.28,-1.3238,ACTIVE
12.0,24.0,23.22,40.31,65.28,0,0,0,0,20.0,0.6,23.95,100.0,-0.082,ACTIVE
13.0,24.0,23.93,39.19,100.0,0,0,1,0,19.02,5.6,24.52,100.0,-0.7997,ACTIVE
14.0,24.0,24.54,53.05,100.0,0,0,0,0,16.18,0.6,24.99,100.0,-1.021,ACTIVE
15.0,24.0,25.06,51.9,100.0,0,0,0,0,11.76,0.6,25.58,100.0,-1.6108,ACTIVE
16.0,24.0,25.5,50.74,100.0,0,0,0,0,6.18,0.6,24.45,100.0,-0.484,ACTIVE
17.0,24.0,24.38,49.6,100.0,0,0,0,0,0.0,0.6,23.36,98.8,-0.6658,ACTIVE
18.0,24.0,23.42,48.5,98.8,0,0,0,0,0.0,0.6,22.65,97.6,-1.3835,ACTIVE
19.0,24.0,22.61,47.42,97.6,0,0,0,0,0.0,0.6,21.93,96.4,-2.1023,ACTIVE
20.0,24.0,21.92,46.37,96.4,0,0,0,1,0.0,0.01,21.25,96.38,-2.7474,SLEEP
21.0,24.0,21.33,45.33,96.38,0,0,0,1,0.0,0.01,20.82,96.36,-3.1781,SLEEP
22.0,24.0,20.83,44.3,96.36,1,0,0,0,0.0,10.6,21.22,75.16,-3.3132,ACTIVE
23.0,24.0,21.21,43.06,75.16,0,0,0,1,0.0,0.01,20.78,75.14,-3.2251,SLEEP
0.0,24.0,20.72,42.04,75.14,1,0,0,0,0.0,10.6,21.18,53.94,-3.3513,ACTIVE
1.0,24.0,21.12,40.81,53.94,0,0,0,1,0.0,0.01,20.63,53.92,-3.3668,SLEEP
2.0,24.0,20.65,39.79,53.92,1,0,1,0,0.0,15.6,21.04,22.72,-3.7398,ACTIVE
3.0,24.0,21.05,53.56,22.72,0,0,0,1,0.0,0.01,20.67,22.7,-3.3348,SLEEP
4.0,24.0,20.59,52.54,22.7,1,0,0,0,0.0,10.6,21.05,1.5,-3.4753,ACTIVE
5.0,24.0,21.0,51.31,1.5,0,0,0,1,0.0,0.01,20.51,1.48,-3.4913,SLEEP
6.0,24.0,20.55,50.29,1.48,0,0,0,1,0.0,0.01,20.17,1.46,-3.8329,SLEEP
7.0,24.0,20.17,49.29,1.46,0,0,0,1,0.0,0.01,19.83,1.44,-4.1675,SLEEP
8.0,24.0,19.85,48.29,1.44,0,0,0,1,6.18,0.01,19.52,13.78,-4.4853,SLEEP
9.0,24.0,19.57,47.31,13.78,0,0,0,1,11.76,0.01,19.41,37.27,-4.5888,SLEEP
10.0,24.0,19.33,46.33,37.27,0,0,1,0,16.18,5.6,20.67,58.43,-3.6056,ACTIVE
11.0,24.0,20.63,60.31,58.43,0,0,0,1,19.02,0.01,21.65,96.46,-2.3499,SLEEP
12.0,24.0,21.74,59.26,96.46,1,0,0,0,20.0,10.6,23.46,100.0,-1.0747,ACTIVE
13.0,24.0,23.48,57.95,100.0,0,0,0,0,19.02,0.6,24.25,100.0,-0.275,ACTIVE
14.0,24.0,24.16,56.83,100.0,0,0,0,1,16.18,0.01,24.69,100.0,-0.6927,SLEEP
15.0,24.0,24.73,55.68,100.0,0,0,0,0,11.76,0.6,25.3,100.0,-1.3309,ACTIVE
16.0,24.0,25.22,54.53,100.0,0,0,0,0,6.18,0.6,24.15,100.0,-0.1768,ACTIVE
17.0,24.0,24.14,53.4,100.0,0,0,0,0,0.0,0.6,23.28,98.8,-0.7517,ACTIVE
18.0,24.0,23.22,52.31,98.8,0,0,0,0,0.0,0.6,22.43,97.6,-1.5968,ACTIVE
19.0,24.0,22.44,51.23,97.6,0,0,0,0,0.0,0.6,21.77,96.4,-2.2626,ACTIVE
20.0,24.0,21.77,50.18,96.4,0,0,0,1,0.0,0.01,21.24,96.38,-2.762,SLEEP
21.0,24.0,21.2,49.14,96.38,0,0,0,1,0.0,0.01,20.77,96.36,-3.2317,SLEEP
22.0,24.0,20.72,48.12,96.36,1,0,0,0,0.0,10.6,21.2,75.16,-3.3307,ACTIVE
23.0,24.0,21.12,46.89,75.16,0,0,0,1,0.0,0.01,20.65,75.14,-3.3456,SLEEP
0.0,24.0,20.65,45.87,75.14,1,0,0,0,0.0,10.6,21.07,53.94,-3.4608,ACTIVE
1.0,24.0,21.05,44.64,53.94,0,0,0,1,0.0,0.01,20.51,53.92,-3.4905,SLEEP
2.0,24.0,20.59,43.62,53.92,1,0,0,0,0.0,10.6,21.08,32.72,-3.4524,ACTIVE
3.0,24.0,21.0,42.39,32.72,0,0,0,1,0.0,0.01,20.51,32.7,-3.4949,SLEEP
4.0,24.0,20.55,41.37,32.7,1,0,0,0,0.0,10.6,20.96,11.5,-3.5685,ACTIVE
5.0,24.0,20.97,40.14,11.5,0,0,0,1,0.0,0.01,20.6,11.48,-3.3996,SLEEP
6.0,24.0,20.52,39.13,11.48,0,0,0,1,0.0,0.01,20.24,11.46,-3.764,SLEEP
7.0,24.0,20.15,38.12,11.46,0,0,0,1,0.0,0.01,19.89,11.44,-4.1092,SLEEP
8.0,24.0,19.82,37.13,11.44,0,0,0,1,6.18,0.01,19.6,23.78,-4.4,SLEEP
9.0,24.0,19.55,36.14,23.78,1,0,0,0,11.76,10.6,20.17,26.09,-4.3611,ACTIVE
10.0,24.0,20.12,34.94,26.09,1,0,1,0,16.18,15.6,22.04,27.25,-2.7398,ACTIVE
11.0,24.0,22.1,48.68,27.25,0,0,0,1,19.02,0.01,23.02,65.28,-0.9813,SLEEP
12.0,24.0,22.99,47.59,65.28,0,0,0,0,20.0,0.6,23.68,100.0,-0.3489,ACTIVE
13.0,24.0,23.74,46.48,100.0,0,0,0,0,19.02,0.6,24.43,100.0,-0.4603,ACTIVE
14.0,24.0,24.38,45.34,100.0,0,0,0,0,16.18,0.6,24.94,100.0,-0.9718,ACTIVE
15.0,24.0,24.92,44.2,100.0,0,0,0,0,11.76,0.6,25.31,100.0,-1.3352,ACTIVE
16.0,24.0,25.38,43.03,100.0,0,0,0,0,6.18,0.6,24.37,100.0,-0.3979,ACTIVE
17.0,24.0,24.27,41.91,100.0,0,0,0,0,0.0,0.6,23.24,98.8,-0.7912,ACTIVE
18.0,24.0,23.33,40.81,98.8,0,0,0,0,0.0,0.6,22.57,97.6,-1.4609,ACTIVE
19.0,24.0,22.53,39.73,97.6,0,0,1,0,0.0,5.6,21.83,86.4,-2.4471,ACTIVE
20.0,24.0,21.85,53.68,86.4,0,0,0,1,0.0,0.01,21.19,86.38,-2.8097,SLEEP
21.0,24.0,21.28,52.64,86.38,0,0,0,1,0.0,0.01,20.81,86.36,-3.1908,SLEEP
22.0,24.0,20.78,51.61,86.36,1,0,0,0,0.0,10.6,21.22,65.16,-3.3089,ACTIVE
23.0,24.0,21.17,50.38,65.16,0,0,0,1,0.0,0.01,20.71,65.14,-3.2888,SLEEP
0.0,24.0,20.69,49.36,65.14,1,0,0,0,0.0,10.6,21.18,43.94,-3.3454,ACTIVE
1.0,24.0,21.09,48.12,43.94,0,0,0,1,0.0,0.01,20.59,43.92,-3.4064,SLEEP
2.0,24.0,20.62,47.11,43.92,1,0,0,0,0.0,10.6,21.01,22.72,-3.5249,ACTIVE
3.0,24.0,21.03,45.88,22.72,0,0,0,1,0.0,0.01,20.54,22.7,-3.4559,SLEEP
4.0,24.0,20.58,44.86,22.7,1,0,0,0,0.0,10.6,21.05,1.5,-3.4756,ACTIVE
5.0,24.0,20.99,43.63,1.5,0,0,0,1,0.0,0.01,20.63,1.48,-3.3669,SLEEP
6.0,24.0,20.54,42.61,1.48,0,0,0,1,0.0,0.01,20.23,1.46,-3.7746,SLEEP
7.0,24.0,20.16,41.61,1.46,0,0,0,1,0.0,0.01,19.82,1.44,-4.1772,SLEEP
8.0,24.0,19.84,40.61,1.44,0,0,0,1,6.18,0.01,19.65,13.78,-4.3467,SLEEP
9.0,24.0,19.56,39.63,13.78,0,0,0,1,11.76,0.01,19.39,37.27,-4.6122,SLEEP
10.0,24.0,19.33,38.65,37.27,1,0,1,0,16.18,15.6,21.42,38.43,-3.3557,ACTIVE
11.0,24.0,21.43,52.4,38.43,1,0,0,0,19.02,10.6,23.26,55.28,-1.2703,ACTIVE
